iter	RMSE
0	210.6691988
1	202.329398
2	194.4247079
3	187.1481331
4	180.1289324
5	173.8258864
6	167.837915
7	162.0286106
8	156.6351917
9	151.511404
10	146.7213967
11	142.4071973
12	138.3314358
13	134.4007574
14	130.8238228
15	127.4045085
16	124.1999289
17	121.2754428
18	118.2794158
19	115.6301031
20	113.1305178
21	110.7986774
22	108.7332005
23	106.6337522
24	104.8014834
25	103.0650705
26	101.3875342
27	99.7143432
28	98.27791255
29	96.98054629
30	95.81586189
31	94.45318625
32	93.36487303
33	92.30934303
34	91.20372897
35	90.30045226
36	89.33760656
37	88.47436194
38	87.67986881
39	86.81470758
40	86.16233981
41	85.59109814
42	84.91356517
43	84.31986208
44	83.77344124
45	83.28869381
46	82.88641975
47	82.41085068
48	81.91038658
49	81.44555437
50	81.10335318
51	80.6539903
52	80.22598388
53	79.91379914
54	79.57541375
55	79.1783332
56	78.66854628
57	78.31666798
58	78.08744805
59	77.76420724
60	77.48584869
61	77.1439312
62	76.90405878
63	76.66521794
64	76.3988072
65	76.16273686
66	75.91111176
67	75.63820778
68	75.22757111
69	75.01938269
70	74.73105914
71	74.47835029
72	74.26073629
73	73.93857032
74	73.68925364
75	73.37812702
76	73.1753129
77	72.92226411
78	72.65119171
79	72.45829079
80	72.22552516
81	72.09849382
82	71.86923319
83	71.6403173
84	71.40139598
85	71.28297738
86	71.1147389
87	70.96427033
88	70.83117117
89	70.68142361
90	70.53467239
91	70.41245095
92	70.27941607
93	70.17714335
94	69.96659721
95	69.8466909
96	69.6941048
97	69.45396293
98	69.32130039
99	69.1668322
100	69.03094127
101	68.84980375
102	68.72815658
103	68.6008433
104	68.39814027
105	68.27493837
106	68.07895632
107	67.9451934
108	67.82374234
109	67.71818657
110	67.60122502
111	67.51114427
112	67.40072995
113	67.15415008
114	66.9879855
115	66.7493798
116	66.64776223
117	66.48459269
118	66.37732629
119	66.29999409
120	66.1856738
121	66.09526748
122	66.02137291
123	65.89480915
124	65.75528221
125	65.58505286
126	65.45901257
127	65.31767285
128	65.11394439
129	65.00441171
130	64.89168649
131	64.8066934
132	64.6752846
133	64.54308769
134	64.45108479
135	64.30131445
136	64.14054559
137	64.0372484
138	63.88510891
139	63.69822685
140	63.57643528
141	63.49647486
142	63.38962892
143	63.30414043
144	63.21851443
145	63.08940979
146	62.97295449
147	62.89087291
148	62.74858439
149	62.62360291
150	62.5235122
151	62.46142418
152	62.3451435
153	62.26626432
154	62.18841141
155	61.98512962
156	61.91556564
157	61.75859489
158	61.67400565
159	61.6107446
160	61.51018007
161	61.4282529
162	61.31155334
163	61.22716458
164	61.16880263
165	61.06871383
166	60.8921846
167	60.82233839
168	60.66720447
169	60.60099656
170	60.5495454
171	60.45734952
172	60.33062163
173	60.22343396
174	60.17465576
175	60.11259702
176	60.02117432
177	59.92260752
178	59.86044888
179	59.67082939
180	59.57847521
181	59.4301028
182	59.33584881
183	59.23326958
184	59.12541716
185	58.98873724
186	58.90591279
187	58.77049106
188	58.67734259
189	58.60695725
190	58.46168852
191	58.41018694
192	58.31221332
193	58.253302
194	58.19096712
195	58.07583048
196	57.96552089
197	57.88857306
198	57.799159
199	57.66886084
200	57.53690088
201	57.44329424
202	57.37975719
203	57.20943226
204	57.0757953
205	56.98606604
206	56.88338031
207	56.83420791
208	56.77258594
209	56.72689015
210	56.56411582
211	56.49235277
212	56.43136409
213	56.32721037
214	56.25353333
215	56.21778945
216	56.12797664
217	55.98656274
218	55.90963452
219	55.8721485
220	55.78217321
221	55.69351846
222	55.5751388
223	55.50500911
224	55.428356
225	55.35935324
226	55.22543809
227	55.08200656
228	55.00367753
229	54.92335503
230	54.81046549
231	54.67671434
232	54.61121688
233	54.51674758
234	54.42615418
235	54.38169343
236	54.31368785
237	54.26132559
238	54.09632378
239	54.03121077
240	53.89236762
241	53.73763118
242	53.66280725
243	53.59714736
244	53.4822055
245	53.3824286
246	53.26759523
247	53.19792399
248	53.104986
249	53.04010314
250	53.00000929
251	52.92775223
252	52.8959633
253	52.84209479
254	52.74375545
255	52.62200971
256	52.55090876
257	52.48534262
258	52.43568768
259	52.39276213
260	52.27954757
261	52.17686258
262	52.1181303
263	52.05657601
264	52.01622849
265	51.93199361
266	51.8867408
267	51.82112314
268	51.73209278
269	51.66046554
270	51.58289357
271	51.48513939
272	51.43156249
273	51.37112024
274	51.31667738
275	51.27113952
276	51.18895763
277	51.11977673
278	51.07901487
279	50.96737981
280	50.87556104
281	50.85107339
282	50.78440265
283	50.71195267
284	50.6389673
285	50.58591053
286	50.5428548
287	50.48672889
288	50.46588092
289	50.40279651
290	50.30545138
291	50.22878863
292	50.15353456
293	50.05153751
294	50.00044164
295	49.95097212
296	49.85165231
297	49.79625709
298	49.74329884
299	49.59588478
300	49.51010724
301	49.43171072
302	49.37489216
303	49.34158797
304	49.2903508
305	49.22721064
306	49.20239285
307	49.12137735
308	49.06529955
309	49.01645924
310	48.96673323
311	48.88011911
312	48.84093249
313	48.79345618
314	48.71798051
315	48.67695905
316	48.57048969
317	48.49345647
318	48.4460932
319	48.38043602
320	48.32925842
321	48.28024696
322	48.23283221
323	48.17841711
324	48.14121001
325	48.05234564
326	48.01151495
327	47.9457202
328	47.90222948
329	47.85732315
330	47.82612582
331	47.74236874
332	47.70924963
333	47.6609221
334	47.56945474
335	47.51820208
336	47.45190096
337	47.34514695
338	47.28004309
339	47.23406713
340	47.20000776
341	47.12051258
342	47.09807538
343	47.06654281
344	46.99421296
345	46.94122894
346	46.8676267
347	46.78862414
348	46.74583367
349	46.65187719
350	46.56485895
351	46.48791017
352	46.45472106
353	46.3953
354	46.33733041
355	46.30974256
356	46.26000988
357	46.19338604
358	46.15633511
359	46.13811288
360	46.08728043
361	46.0519767
362	45.99715314
363	45.91763804
364	45.82673321
365	45.79361617
366	45.73290743
367	45.66431314
368	45.61381808
369	45.54005365
370	45.49011174
371	45.43566544
372	45.35650365
373	45.31629514
374	45.27016052
375	45.19543856
376	45.14435032
377	45.10390549
378	45.08253055
379	45.0478834
380	45.03184237
381	45.01045106
382	44.97423752
383	44.91809831
384	44.89098405
385	44.8284955
386	44.79683239
387	44.71856064
388	44.70595092
389	44.64989727
390	44.56413064
391	44.48703996
392	44.46021979
393	44.40015267
394	44.36242726
395	44.30128548
396	44.26734681
397	44.19617336
398	44.1488667
399	44.11591116
400	44.0828802
401	44.02877108
402	43.96933349
403	43.92023374
404	43.86842029
405	43.80853179
406	43.77694358
407	43.70752537
408	43.67705749
409	43.62287245
410	43.58449355
411	43.52044066
412	43.47816633
413	43.46333738
414	43.42300753
415	43.37156794
416	43.33313298
417	43.2926706
418	43.27203476
419	43.22536464
420	43.17215615
421	43.13256803
422	43.10662686
423	43.06688322
424	43.02706229
425	42.96177709
426	42.93265557
427	42.85939585
428	42.83404433
429	42.78617277
430	42.72966056
431	42.69256911
432	42.65555033
433	42.59786028
434	42.55612847
435	42.53442212
436	42.49324022
437	42.44698377
438	42.40957997
439	42.35546766
440	42.3079677
441	42.26490424
442	42.19518177
443	42.18069215
444	42.16595656
445	42.09374194
446	42.04288578
447	41.9903427
448	41.92967688
449	41.88964171
450	41.84856785
451	41.79521741
452	41.75163516
453	41.71378216
454	41.66445641
455	41.62856755
456	41.58937728
457	41.52219471
458	41.4848534
459	41.43239509
460	41.38613864
461	41.34794431
462	41.30089828
463	41.28341749
464	41.26001041
465	41.2137317
466	41.15955984
467	41.10635945
468	41.06567155
469	41.03745198
470	41.02269268
471	40.98955228
472	40.9529913
473	40.90051819
474	40.85369204
475	40.84149849
476	40.79392086
477	40.75705711
478	40.72659475
479	40.70568225
480	40.65576091
481	40.63201185
482	40.5958159
483	40.5448529
484	40.5022907
485	40.47421825
486	40.42460412
487	40.38870596
488	40.34515649
489	40.30542041
490	40.27748591
491	40.2273951
492	40.20401046
493	40.18241326
494	40.16295122
495	40.11353323
496	40.09546827
497	40.07249507
498	40.02576306
499	40.00088719
500	39.98463622
501	39.91411181
502	39.88313972
503	39.87324204
504	39.83363635
505	39.7954817
506	39.75554339
507	39.73902678
508	39.70056191
509	39.67954208
510	39.62939565
511	39.59144663
512	39.55925501
513	39.53153616
514	39.51391996
515	39.46535708
516	39.43253659
517	39.4050937
518	39.38067495
519	39.35158309
520	39.33615059
521	39.29097966
522	39.26682142
523	39.23377173
524	39.22516488
525	39.20077768
526	39.18977233
527	39.15387858
528	39.11658495
529	39.0717471
530	39.05150073
531	39.02577384
532	38.99440832
533	38.97509439
534	38.9535686
535	38.93551753
536	38.89972426
537	38.85777819
538	38.82360875
539	38.78567478
540	38.75985227
541	38.73992324
542	38.68255816
543	38.64583015
544	38.62483644
545	38.58488533
546	38.54168902
547	38.51078399
548	38.46289889
549	38.43348983
550	38.4242605
551	38.37713404
552	38.34122297
553	38.31363782
554	38.27367547
555	38.25744177
556	38.22382196
557	38.20747709
558	38.19353156
559	38.17261861
560	38.1478876
561	38.10885015
562	38.06997147
563	38.0314043
564	38.00504441
565	37.96394462
566	37.95563639
567	37.90427235
568	37.89318014
569	37.85177013
570	37.82274221
571	37.79511278
572	37.76365345
573	37.71994846
574	37.69511901
575	37.65593348
576	37.62281493
577	37.58103388
578	37.55551418
579	37.53309091
580	37.49228534
581	37.4858167
582	37.47284222
583	37.44100521
584	37.40270835
585	37.36049324
586	37.34583454
587	37.32478296
588	37.27908341
589	37.23969405
590	37.19492643
591	37.17308352
592	37.14479112
593	37.10600799
594	37.07787275
595	37.0414819
596	37.01723493
597	36.97847163
598	36.93616325
599	36.92088285
600	36.87679067
601	36.85476805
602	36.84793341
603	36.8187912
604	36.78086043
605	36.73519007
606	36.71316389
607	36.68765902
608	36.66627089
609	36.64241221
610	36.61438028
611	36.58001382
612	36.54263855
613	36.518895
614	36.50908485
615	36.47260375
616	36.44744716
617	36.42884726
618	36.40664142
619	36.37610218
620	36.34480929
621	36.30577974
622	36.28936277
623	36.28357349
624	36.25067702
625	36.22834766
626	36.18616794
627	36.15834946
628	36.13291132
629	36.08744284
630	36.06236534
631	36.03660635
632	36.01176394
633	36.00302447
634	35.98321202
635	35.9418395
636	35.93090131
637	35.91084574
638	35.87371549
639	35.84990366
640	35.79443295
641	35.76958321
642	35.75495775
643	35.71846642
644	35.69700471
645	35.65758778
646	35.64015868
647	35.62510788
648	35.60714824
649	35.57758748
650	35.55427952
651	35.51514778
652	35.48331115
653	35.44985834
654	35.42735286
655	35.40499839
656	35.38594456
657	35.36135985
658	35.32963798
659	35.31621916
660	35.30632467
661	35.29087138
662	35.26628045
663	35.23633799
664	35.21198841
665	35.19313412
666	35.18503267
667	35.1556117
668	35.12946369
669	35.10610725
670	35.07737696
671	35.03692909
672	35.01496828
673	35.00107624
674	34.95038875
675	34.93769267
676	34.91924789
677	34.89742768
678	34.86691647
679	34.85680714
680	34.84206702
681	34.82427966
682	34.79064935
683	34.77300146
684	34.73591974
685	34.69139275
686	34.68093178
687	34.65331756
688	34.61377968
689	34.60121555
690	34.56205628
691	34.53360854
692	34.50643947
693	34.47662575
694	34.45186729
695	34.41708355
696	34.38743088
697	34.35339012
698	34.31561894
699	34.26309089
700	34.23918707
701	34.19822501
702	34.17682803
703	34.16658095
704	34.14783248
705	34.11635931
706	34.09289205
707	34.07411531
708	34.03151226
709	34.00968533
710	33.99263714
711	33.95578207
712	33.93909531
713	33.92966161
714	33.90789993
715	33.88735756
716	33.86176631
717	33.83724815
718	33.82443738
719	33.78942668
720	33.77054563
721	33.7466124
722	33.72380014
723	33.71552837
724	33.7052557
725	33.67727458
726	33.64958815
727	33.63318552
728	33.62094099
729	33.60058617
730	33.58537255
731	33.54896779
732	33.53326672
733	33.49701587
734	33.46554505
735	33.44222087
736	33.4229553
737	33.4158528
738	33.38364171
739	33.36823231
740	33.34327997
741	33.31896665
742	33.30291041
743	33.29853098
744	33.27530371
745	33.25422413
746	33.22563692
747	33.21416176
748	33.20941466
749	33.19934328
750	33.1852497
751	33.15812068
752	33.13312979
753	33.12913004
754	33.10753623
755	33.08246024
756	33.02717275
757	33.00761472
758	32.9701247
759	32.96280639
760	32.94400197
761	32.90829068
762	32.88631356
763	32.86562718
764	32.84821892
765	32.83023433
766	32.81549023
767	32.78681195
768	32.7480584
769	32.73623655
770	32.6960044
771	32.66869303
772	32.64977043
773	32.62417669
774	32.60873001
775	32.59246682
776	32.57653862
777	32.55779051
778	32.53229385
779	32.52359119
780	32.47364601
781	32.45004877
782	32.42711799
783	32.40626259
784	32.37550454
785	32.34385543
786	32.3220239
787	32.30138472
788	32.27153289
789	32.25662865
790	32.23233021
791	32.2248734
792	32.19584637
793	32.17093885
794	32.14607732
795	32.11025231
796	32.0761202
797	32.04901446
798	32.02366397
799	32.01880189
800	31.99414409
